LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-75.2018301,39.9735353,1122,N 39TH ST,,,,,19104,243225500,3e4a00b4dd8a5b03
-75.2001677,39.9599735,314-16,N 39TH ST,,,,,19104,881818500,fa2f2a0086a9185a
-75.2103118,39.9759703,4221,VIOLA ST,,,,,19104,062214000,4d6742ceb868242e
-75.198625,39.9660366,3824,OLIVE ST,,,,,19104,243021400,ff7601f7fd6314f1
-75.1988123,39.9671262,3822,FOLSOM ST,,,,,19104,243052100,193d464f174b8e0d
-75.2012774,39.9627729,3945-49,LANCASTER AVE,,,,,19104,871400295,28a753982e365508
-75.2036239,39.9512069,316,S 40TH ST,,,,,19104,271176500,a99c5d1e3c3b27ea
-75.204039,39.9616848,4045,SPRING GARDEN ST,,,,,19104,061035000,ea23d9fcaa015ce1
-75.2044788,39.9654775,4055,OLIVE ST,,,,,19104,061142910,74bbd000f65a6225
-75.207962,39.9502853,4214,OSAGE AVE,,,,,19104,272059300,0dab40169c4ea7d9
-75.1970329,39.9663585,713,N DE KALB ST,,,,,19104,243085900,817a3bbe23207b4b
-75.197395,39.9663213,720,N DE KALB ST,,,,,19104,243089300,c2138a959a8b30cd
-75.2068702,39.9744624,1220,N 41ST ST,,,,,19104,062258700,3255cd5033fb69af
-75.2121141,39.9699795,925,N 45TH ST,,,,,19104,062354500,b6f9918daf2c0dec
-75.2075875,39.9630361,617,BROOKLYN ST,,,,,19104,061260700,d8ad473cc34601c6
-75.1951961,39.9634381,3618,HAVERFORD AVE,,,,,19104,242036800,6877525ee271b8e9
-75.1977052,39.9601932,3817,PEARL ST,,,,,19104,241159600,01643dbf4b1a8d9f
-75.2104343,39.963551,625,N 44TH ST,,,,,19104,061294200,6ccfd7f9781881cd
-75.1967397,39.963702,3721,HAVERFORD AVE,,,,,19104,242049000,4bf5bab008b946c2
-75.2109061,39.9699134,4323,WESTMINSTER AVE,,,,,19104,062103300,2da998b8b74ef0ce
-75.2102029,39.9741002,1216,N 42ND ST,,,,,19104,062293200,36ef1f5de789995d
-75.2053781,39.9723525,4032,POPLAR ST,,,,,19104,062148700,c8c8b344c1725e92
-75.1950679,39.9627506,3619,SPRING GARDEN ST,,,,,19104,242006100,364ddd15114fa7bd
-75.2091793,39.9719704,4219,MANTUA AVE,,,,,19104,062114900,12e3dcfce5296de9
