LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH,preciselyID,livingSquareFootage,saleAmount,buildingID,buildingType,elevation,maximumElevation,minimumElevation,buildingArea
-75.2020403,39.9626577,3950,LANCASTER AVE,,Philadelphia,University City,West Philadelphia,19104,871115950,b84af65b4105ca79,P0000JCD8K6G,3112.0,435000.0,B000CTQ2I4ZL,Residential,106.0,106.0,103.0,1449.0
-75.2081863,39.9637703,646,BROOKLYN ST,,Philadelphia,University City,West Philadelphia,19104,61268200,32037bcbb2decedd,P0000JCD8J98,,38700.0,,,,,,
-75.2036886,39.9724508,1005,N 40TH ST,,Philadelphia,University City,West Philadelphia,19104,243238510,d61ae79cd72b7365,P0000JCD8K08,,60000.0,B000CTQ2E6P2,Mixed,109.0,109.0,107.0,1122.0
-75.201409,39.9602765,346,SLOAN ST,,Philadelphia,University City,West Philadelphia,19104,241245100,cdc78e1dd88a54fd,P0000JCBUSCX,774.0,85000.0,B000CTQ2I9AS,Residential,109.0,109.0,108.0,474.0
-75.2040872,39.9612881,436,N PRESTON ST,,Philadelphia,University City,West Philadelphia,19104,61194200,e60c8f3fb290b921,P0000JCBUSOZ,2078.0,,B000CTQ2FYVE,Residential,108.0,108.0,107.0,969.0
-75.2037425,39.962968,4025,HAVERFORD AVE,,Philadelphia,University City,West Philadelphia,19104,61049300,c82b04dfec3a3fdd,P0000JCBUIAY,1512.0,60000.0,B000CTQ2A5DC,Unknown,104.0,105.0,101.0,4149.0
-75.1980196,39.9678629,787,N 38TH ST,,Philadelphia,University City,West Philadelphia,19104,243096110,1976b7cb95920b25,P0000JCD8JW8,,,,,,,,
-75.1996233,39.9681698,3838,RENO ST,,Philadelphia,University City,West Philadelphia,19104,243126415,72b6732d2fd47049,P0000JCBUH9T,1254.0,,B000CTQ2HRIZ,Residential,89.0,89.0,87.0,610.0
-75.2036493,39.9623274,4043,GREEN ST,,Philadelphia,University City,West Philadelphia,19104,61042150,736dbfb427cb6522,P0000JCBUHLH,2024.0,40000.0,B000CTQ2EGI3,Residential,106.0,106.0,104.0,708.0
-75.2097598,39.9721269,4241,MANTUA AVE,,Philadelphia,University City,West Philadelphia,19104,62116000,82f0c576106f4ca1,P0000JCBUJ3P,1580.0,115000.0,B000CTRV1LDF,Residential,120.0,121.0,120.0,821.0
-75.2053433,39.9487164,531,S 41ST ST,,Philadelphia,University City,West Philadelphia,19104,271188940,98ebccf1bffa9e1e,P0000JCD8LJ7,,160000.0,,,,,,
